City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Camopi,GF,73.24,overcast clouds,3.1655,-52.3158,La pousada
2,Hermanus,ZA,78.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
3,Hilo,US,70.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Atuona,PF,78.66,light rain,-9.8,-139.0333,Villa Enata
9,Kapaa,US,75.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
12,Cayenne,GF,77.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
14,Cape Town,ZA,79.12,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
15,Angoche,MZ,88.92,clear sky,-16.2325,39.9086,Guest House HESADA
18,Lorengau,PG,82.69,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
21,Rikitea,PF,77.27,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Naberera,TZ,77.04,light rain,-4.2,36.9333,
25,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
29,Souillac,MU,84.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
33,Mabaruma,GY,71.89,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
35,Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
39,Hithadhoo,MV,82.31,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Puerto Escondido,MX,75.69,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
41,Umm Kaddadah,SD,88.32,scattered clouds,13.6017,26.6876,
52,Morant Bay,JM,78.66,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
53,Paidha,UG,78.08,broken clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
55,Porbandar,IN,81.12,clear sky,21.6422,69.6093,Lords Inn Porbandar
56,Bambous Virieux,MU,84.45,light rain,-20.3428,57.7575,Casa Tia Villa
65,Butaritari,KI,81.95,few clouds,3.0707,172.7902,Isles Sunset Lodge
66,Port Alfred,ZA,80.4,overcast clouds,-33.5906,26.891,The Halyards Hotel
70,Poum,NC,79.63,moderate rain,-20.2333,164.0167,Gîte kajeon
76,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
79,Muisne,EC,73.83,light rain,0.6,-80.0333,Quinta Samay
84,Port Elizabeth,ZA,77.29,broken clouds,-33.918,25.5701,39 On Nile Guest House
85,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
86,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
87,Gamba,GA,81.7,overcast clouds,-2.65,10.0,
91,Upington,ZA,88.18,clear sky,-28.4478,21.2561,River Place Manor
92,Saquarema,BR,78.94,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
96,Benguela,AO,76.98,light rain,-12.5763,13.4055,Hotel Praia Morena
100,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
101,Carnarvon,AU,73.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
104,Mahebourg,MU,84.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
106,Becerril,CO,71.28,overcast clouds,9.7041,-73.2793,Barrio El Carmen
109,Vila Velha,BR,79.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
110,Yulara,AU,93.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
111,Nunguan,PH,78.82,overcast clouds,7.1283,124.6891,
112,Cidreira,BR,73.2,few clouds,-30.1811,-50.2056,Hotel Castelo
118,Hunucma,MX,72.09,clear sky,21.0167,-89.8667,Casa de Maribel Pamplona Poot
124,Ixtapa,MX,71.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
125,Sao Filipe,CV,75.58,overcast clouds,14.8961,-24.4956,Hotel Xaguate
126,Port Blair,IN,82.0,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
127,Pozo Colorado,PY,73.15,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
130,Gigmoto,PH,78.13,broken clouds,13.7796,124.39,Cj's Travellers Inn
131,Avarua,CK,73.45,moderate rain,-21.2078,-159.775,Paradise Inn
135,Vieques,PR,78.84,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
136,Sawakin,SD,83.89,scattered clouds,19.1059,37.3321,فندق الدويم
139,Grand Gaube,MU,84.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
149,Mayumba,GA,80.17,light rain,-3.432,10.6554,LIKWALE LODGE
151,Victoria,HK,70.18,clear sky,22.2855,114.1577,Mini Hotel Central
155,Saraza,PH,80.06,broken clouds,8.7356,117.78,Farmqo Beach (Matangkay)
164,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
166,Bengkulu,ID,82.81,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
167,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
170,Trat,TH,84.97,few clouds,12.5,102.5,สวนหนิง-อัศ
172,Gao,ML,84.94,overcast clouds,16.6362,1.637,
176,Adrar,MR,71.74,broken clouds,20.5022,-10.0711,
180,Luanda,AO,80.6,heavy intensity rain,-8.8368,13.2343,Hotel Fórum
181,Taoudenni,ML,70.57,clear sky,22.6783,-3.9836,
182,Baturite,BR,79.43,broken clouds,-4.3286,-38.8847,Hotel Padre Cícero
185,Nabire,ID,80.29,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
186,Amapa,BR,72.12,overcast clouds,1.0,-52.0,
187,Chandbali,IN,74.35,broken clouds,20.7833,86.7667,KABITA HOMES
189,Batticaloa,LK,81.82,overcast clouds,7.7102,81.6924,Grand Star Guest House
190,Samarai,PG,82.98,overcast clouds,-10.6167,150.6667,Nuli Sapi
195,Dibulla,CO,72.48,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
199,Marsh Harbour,BS,75.72,clear sky,26.5412,-77.0636,Abaco Beach Resort
200,Kandrian,PG,79.88,overcast clouds,-6.2167,149.55,Kandrian Station
205,Acarau,BR,82.04,broken clouds,-2.8856,-40.12,castelo pizzaria
206,Isangel,VU,80.28,light rain,-19.55,169.2667,Tanna Lodge
207,Adre,TD,87.64,overcast clouds,13.4667,22.2,
211,Kampene,CD,75.58,overcast clouds,-3.6,26.6667,
212,Cabo San Lucas,MX,70.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
214,Dori,BF,86.68,overcast clouds,14.0354,-0.0345,Hôtel Liptako
216,Punto Fijo,VE,76.93,scattered clouds,11.6956,-70.1996,Santa Fe Inn Hotel
217,Kisangani,CD,86.36,broken clouds,0.5167,25.2,Grand Ramela Hotel
220,Moanda,GA,82.63,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
221,Berbera,SO,82.45,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
222,Thinadhoo,MV,81.25,overcast clouds,0.5333,72.9333,
224,Araouane,ML,77.14,scattered clouds,18.9048,-3.5265,
226,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
228,Itarema,BR,82.27,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
231,Jardim,BR,73.2,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
237,Bonthe,SL,83.25,light rain,7.5264,-12.505,Bonthe Holiday Village
244,Boyolangu,ID,81.09,few clouds,-8.1181,111.8935,Yos ega cv
245,Codajas,BR,73.18,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
247,Puerto Cabezas,NI,73.81,broken clouds,14.0351,-83.3888,Cabaña Caribe
248,Quebo,GW,84.85,scattered clouds,11.3333,-14.9333,
249,Kirakira,SB,81.5,light rain,-10.4544,161.9205,SanBiz Lodge
250,Mudhol,IN,81.57,broken clouds,16.35,75.2833,Hotel Surabhi
254,Ariquemes,BR,73.67,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
256,Sitio Novo Do Tocantins,BR,76.93,broken clouds,-5.5183,-47.4611,Imperial Hotel
264,Tura,IN,70.81,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
267,Dingle,PH,76.64,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
268,Domoni,KM,82.89,light rain,-12.2569,44.5319,Al Djadid
270,Wad Rawah,SD,90.82,clear sky,15.1603,33.1397,ود الترابي
274,Auki,SB,79.34,overcast clouds,-8.7676,160.7034,Auki Motel
275,Charters Towers,AU,80.29,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
278,Saraipali,IN,77.85,broken clouds,21.3333,83.0,UTTAR KUMAR SIDAR
285,Bom Jardim,BR,73.74,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
287,Kahului,US,73.85,light rain,20.8947,-156.47,Maui Seaside Hotel
288,Vredendal,ZA,74.44,few clouds,-31.6683,18.5012,Tharrakamma Guest House
292,Ndioum,SN,80.49,overcast clouds,16.5129,-14.6471,l'hôtel samassa
294,Pandan,PH,78.08,broken clouds,14.0453,124.1694,Bonifacio Lodge
298,Bara,NG,90.32,overcast clouds,10.3744,10.7288,
299,Lodja,CD,75.83,overcast clouds,-3.4833,23.4333,
305,Oriximina,BR,73.92,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
309,Ende,ID,81.41,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
311,Kavieng,PG,82.99,broken clouds,-2.5744,150.7967,Nusa Island Retreat
313,Alice Springs,AU,89.15,few clouds,-23.7,133.8833,Desert Palms Alice Springs
315,Viamao,BR,73.38,mist,-30.0811,-51.0233,Hotel Itália
319,Georgetown,MY,82.35,thunderstorm,5.4112,100.3354,Cititel Penang
320,Saint-Philippe,RE,87.35,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
327,Vaitape,PF,80.89,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
331,Namatanai,PG,81.27,light rain,-3.6667,152.4333,Seagulls Inn Namatani
332,Aswan,EG,85.3,broken clouds,24.0934,32.907,Nuba Nile
333,Saint-Georges,GD,74.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
337,Riohacha,CO,71.8,overcast clouds,11.5444,-72.9072,Hotel Taroa
338,Key West,US,77.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
340,Singkawang,ID,82.04,moderate rain,0.9,109.0,Capital O 1822 Wahana Inn
344,Hambantota,LK,77.34,thunderstorm,6.1241,81.1185,Bungalow 63
345,Pimenta Bueno,BR,73.83,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
346,Niamtougou,TG,87.64,clear sky,9.7681,1.1053,Sevebat
351,Honavar,IN,90.79,scattered clouds,14.2833,74.45,Hotel Sagar Residency
355,Jacqueville,CI,85.91,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
359,Celestun,MX,72.12,clear sky,20.8667,-90.4,Posada Lilia
361,Beoumi,CI,90.05,scattered clouds,7.6736,-5.5764,Hôtel le Goly
364,Kassala,SD,91.47,clear sky,15.451,36.4,Amassi Hotel Gash
365,Sola,VU,80.94,overcast clouds,-13.8833,167.55,Leumerus Bungalows
366,Ibra,OM,78.91,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
367,Omboue,GA,81.19,overcast clouds,-1.5746,9.2618,Hotel Olako
370,Gandu,BR,72.9,overcast clouds,-13.7439,-39.4867,Pousada Duarte
