City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,67.55,97,89,7.83,overcast clouds
1,Camopi,GF,3.1655,-52.3158,73.24,100,100,0.96,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,78.91,81,93,10.36,overcast clouds
3,Hilo,US,19.7297,-155.09,70.79,43,90,4.61,light rain
4,Khatanga,RU,71.9667,102.5,-27.62,93,99,11.39,overcast clouds
5,Goderich,CA,43.7501,-81.7165,42.21,65,100,16.11,overcast clouds
6,Atuona,PF,-9.8,-139.0333,78.66,78,39,21.74,light rain
7,Minsk,BY,53.9,27.5667,31.75,83,100,7.99,overcast clouds
8,Longyearbyen,SJ,78.2186,15.6401,31.84,74,40,21.85,scattered clouds
9,Kapaa,US,22.0752,-159.319,75.52,73,40,4.0,scattered clouds
10,Lagoa,PT,39.05,-27.9833,58.19,54,100,12.84,overcast clouds
11,East London,ZA,-33.0153,27.9116,83.34,61,0,11.5,clear sky
12,Cayenne,GF,4.9333,-52.3333,77.09,91,75,1.01,light rain
13,Necochea,AR,-38.5473,-58.7368,60.46,53,2,10.54,clear sky
14,Cape Town,ZA,-33.9258,18.4232,79.12,60,75,3.0,broken clouds
15,Angoche,MZ,-16.2325,39.9086,88.92,57,0,17.96,clear sky
16,Kodiak,US,57.79,-152.4072,13.51,57,1,14.97,clear sky
17,Udachnyy,RU,66.4167,112.4,-53.84,100,70,3.71,broken clouds
18,Lorengau,PG,-2.0226,147.2712,82.69,82,100,11.77,overcast clouds
19,New Norfolk,AU,-42.7826,147.0587,63.9,76,100,1.59,overcast clouds
20,Bluff,NZ,-46.6,168.3333,52.81,88,4,12.55,clear sky
21,Rikitea,PF,-23.1203,-134.9692,77.27,77,100,11.03,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,42.91,65,75,16.11,broken clouds
23,Mangan,IN,27.5167,88.5333,64.72,59,8,4.85,clear sky
24,Naberera,TZ,-4.2,36.9333,77.04,50,74,12.08,light rain
25,Pilar,BR,-9.5972,-35.9567,76.93,75,70,5.12,broken clouds
26,Albany,US,42.6001,-73.9662,40.8,60,78,1.01,broken clouds
27,Chokurdakh,RU,70.6333,147.9167,-35.45,97,100,3.96,overcast clouds
28,Yellowknife,CA,62.456,-114.3525,5.56,85,90,5.75,light snow
29,Souillac,MU,-20.5167,57.5167,84.58,61,75,14.97,broken clouds
30,Hobart,AU,-42.8794,147.3294,64.26,75,0,6.91,clear sky
31,Pacific Grove,US,36.6177,-121.9166,57.65,81,100,5.99,light rain
32,Mataura,NZ,-46.1927,168.8643,52.48,94,15,0.56,few clouds
33,Mabaruma,GY,8.2,-59.7833,71.89,99,100,1.95,overcast clouds
34,Jinxiang,CN,27.4327,120.6062,53.35,72,82,11.16,broken clouds
35,Padang,ID,-0.9492,100.3543,80.65,85,100,2.71,light rain
36,Luena,AO,-11.7833,19.9167,66.83,91,100,2.42,light rain
37,Kungur,RU,57.4368,56.9593,11.97,88,53,7.38,broken clouds
38,Husavik,IS,66.0449,-17.3389,30.11,76,98,14.45,overcast clouds
39,Hithadhoo,MV,-0.6,73.0833,82.31,73,100,10.98,overcast clouds
40,Puerto Escondido,MX,15.85,-97.0667,75.69,65,0,5.55,clear sky
41,Umm Kaddadah,SD,13.6017,26.6876,88.32,18,41,12.93,scattered clouds
42,Vardo,NO,70.3705,31.1107,33.55,86,75,14.97,broken clouds
43,Mar Del Plata,AR,-38.0023,-57.5575,67.08,60,0,7.0,clear sky
44,Laguna,US,38.421,-121.4238,52.41,89,90,5.99,light rain
45,Kaeo,NZ,-35.1,173.7833,67.32,97,100,9.64,moderate rain
46,Sitka,US,57.0531,-135.33,33.69,51,90,6.91,overcast clouds
47,Fort Nelson,CA,58.8053,-122.7002,-2.61,84,90,3.44,overcast clouds
48,Ushuaia,AR,-54.8,-68.3,42.42,70,75,19.57,broken clouds
49,Luderitz,NA,-26.6481,15.1594,76.26,50,0,22.26,clear sky
50,Kushiro,JP,42.975,144.3747,31.15,55,20,9.22,few clouds
51,Ponta Do Sol,PT,32.6667,-17.1,67.01,70,43,3.71,scattered clouds
52,Morant Bay,JM,17.8815,-76.4093,78.66,81,30,11.79,scattered clouds
53,Paidha,UG,2.4167,30.9855,78.08,41,57,9.24,broken clouds
54,Luoyang,CN,34.6836,112.4536,44.49,52,7,4.61,clear sky
55,Porbandar,IN,21.6422,69.6093,81.12,43,0,8.41,clear sky
56,Bambous Virieux,MU,-20.3428,57.7575,84.45,61,75,14.97,light rain
57,Sisimiut,GL,66.9395,-53.6735,14.02,83,6,10.09,clear sky
58,Nueve De Julio,AR,-35.4444,-60.8831,57.43,65,61,6.08,broken clouds
59,Peniche,PT,39.3558,-9.3811,60.89,69,2,13.76,clear sky
60,Fairfield,US,41.2668,-73.3162,40.69,58,1,5.01,clear sky
61,Busselton,AU,-33.65,115.3333,67.08,53,74,15.77,broken clouds
62,Katherine,AU,-14.4667,132.2667,95.32,28,45,1.14,scattered clouds
63,Tuktoyaktuk,CA,69.4541,-133.0374,-8.48,95,100,15.05,overcast clouds
64,Thompson,CA,55.7435,-97.8558,-9.24,84,1,5.75,clear sky
65,Butaritari,KI,3.0707,172.7902,81.95,71,16,14.88,few clouds
66,Port Alfred,ZA,-33.5906,26.891,80.4,70,90,6.11,overcast clouds
67,Kashipur,IN,29.2167,78.95,68.36,37,100,2.93,overcast clouds
68,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,33.94,86,92,12.64,overcast clouds
69,Tazovskiy,RU,67.4667,78.7,-32.1,97,21,2.91,few clouds
70,Poum,NC,-20.2333,164.0167,79.63,89,100,24.25,moderate rain
71,Belyy Yar,RU,53.6039,91.3903,13.89,80,40,8.95,light shower snow
72,Cherskiy,RU,68.75,161.3,-23.66,90,100,0.51,overcast clouds
73,Tasiilaq,GL,65.6145,-37.6368,32.16,80,100,2.91,overcast clouds
74,Talaya,RU,61.3833,152.75,-14.8,95,100,7.02,overcast clouds
75,Provideniya,RU,64.3833,-173.3,-9.8,92,100,15.48,overcast clouds
76,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,89,20,0.0,few clouds
77,Mangit,UZ,40.5971,70.9607,45.68,25,100,0.98,overcast clouds
78,Ketchikan,US,55.3422,-131.6461,27.07,86,20,3.44,few clouds
79,Muisne,EC,0.6,-80.0333,73.83,94,100,4.9,light rain
80,Skibbereen,IE,51.55,-9.2667,44.4,83,100,5.55,moderate rain
81,Snihurivka,UA,47.0758,32.8052,40.98,74,100,8.75,overcast clouds
82,Ranghulu,CN,46.65,124.8667,11.39,91,7,8.01,clear sky
83,Jamestown,US,42.097,-79.2353,40.59,63,1,5.99,clear sky
84,Port Elizabeth,ZA,-33.918,25.5701,77.29,78,75,13.8,broken clouds
85,Vaini,TO,-21.2,-175.2,77.16,88,20,8.05,few clouds
86,Ewa Beach,US,21.3156,-158.0072,75.15,76,1,15.99,clear sky
87,Gamba,GA,-2.65,10.0,81.7,78,96,8.34,overcast clouds
88,San Jacinto,US,33.7839,-116.9586,51.78,74,72,3.0,broken clouds
89,Bereda,ES,43.2686,-7.5406,54.14,100,90,1.77,overcast clouds
90,Chuy,UY,-33.6971,-53.4616,68.88,81,96,4.9,light rain
91,Upington,ZA,-28.4478,21.2561,88.18,16,0,11.5,clear sky
92,Saquarema,BR,-22.92,-42.5103,78.94,84,100,3.38,overcast clouds
93,Klaksvik,FO,62.2266,-6.589,41.92,81,100,34.61,overcast clouds
94,San Patricio,US,28.017,-97.5169,64.26,80,100,5.12,overcast clouds
95,Ambilobe,MG,-13.2,49.05,96.28,30,19,3.18,few clouds
96,Benguela,AO,-12.5763,13.4055,76.98,88,100,6.46,light rain
97,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,59,100,12.91,overcast clouds
98,Vestmanna,FO,62.1564,-7.1664,40.12,75,75,27.63,broken clouds
99,Norman Wells,CA,65.282,-126.8329,-3.96,71,90,16.11,light snow
100,Geraldton,AU,-28.7667,114.6,70.21,68,90,23.02,overcast clouds
101,Carnarvon,AU,-24.8667,113.6333,73.47,73,40,26.46,scattered clouds
102,Tatarskaya Pishlya,RU,54.0608,44.8998,23.43,66,100,13.82,overcast clouds
103,Saldanha,ZA,-33.0117,17.9442,66.4,82,35,19.51,scattered clouds
104,Mahebourg,MU,-20.4081,57.7,84.49,61,75,14.97,light rain
105,Carlsbad,US,33.1581,-117.3506,54.46,83,90,1.01,overcast clouds
106,Becerril,CO,9.7041,-73.2793,71.28,72,90,4.29,overcast clouds
107,Solnechnyy,RU,50.7214,136.6319,7.99,97,98,4.43,overcast clouds
108,Manhattan,US,40.7834,-73.9662,42.4,49,1,11.5,clear sky
109,Vila Velha,BR,-20.3297,-40.2925,79.95,77,0,14.0,clear sky
110,Yulara,AU,-25.2406,130.9889,93.04,26,58,4.61,broken clouds
111,Nunguan,PH,7.1283,124.6891,78.82,85,96,0.49,overcast clouds
112,Cidreira,BR,-30.1811,-50.2056,73.2,88,19,10.56,few clouds
113,Lompoc,US,34.6391,-120.4579,51.78,84,1,9.22,clear sky
114,Ballina,AU,-28.8667,153.5667,67.78,84,0,10.6,clear sky
