City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,BR,2021-12-07 10:38:34,-17.7125,-39.2481,72.03,94,100,4.7
1,Sao Filipe,CV,2021-12-07 10:38:35,14.8961,-24.4956,78.19,65,95,6.31
2,Zyryanskoye,RU,2021-12-07 10:38:35,56.8306,86.6258,26.13,93,100,9.78
3,Punta Arenas,CL,2021-12-07 10:37:33,-53.15,-70.9167,44.71,65,75,25.32
4,Bredasdorp,ZA,2021-12-07 10:40:10,-34.5322,20.0403,74.52,46,40,9.22
5,Pantelho,MX,2021-12-07 10:38:37,16.9333,-92.55,55.36,77,5,2.37
6,Rikitea,PF,2021-12-07 10:40:11,-23.1203,-134.9692,74.75,82,83,19.1
7,Nevel,RU,2021-12-07 10:40:12,56.0209,29.9284,19.26,91,91,6.42
8,Lukovetskiy,RU,2021-12-07 10:38:38,64.2956,41.9211,1.38,99,48,3.38
9,Igrim,RU,2021-12-07 10:40:12,63.1906,64.4162,9.01,91,100,5.66
10,East London,ZA,2021-12-07 10:38:39,-33.0153,27.9116,70.74,73,75,6.91
11,Busselton,AU,2021-12-07 10:38:39,-33.65,115.3333,85.08,38,0,13.09
12,Mataura,NZ,2021-12-07 10:40:13,-46.1927,168.8643,46.24,97,4,1.14
13,Sitka,US,2021-12-07 10:38:40,57.0531,-135.33,35.49,80,90,13.8
14,Avarua,CK,2021-12-07 10:38:41,-21.2078,-159.775,75.25,94,75,3.44
15,Saint-Philippe,RE,2021-12-07 10:38:41,-21.3585,55.7679,87.39,70,27,11.16
16,Esperance,AU,2021-12-07 10:38:42,-33.8667,121.9,66.04,67,0,26.04
17,Mar Del Plata,AR,2021-12-07 10:38:42,-38.0023,-57.5575,64.87,87,0,13.0
18,Ushuaia,AR,2021-12-07 10:38:43,-54.8,-68.3,44.26,61,40,31.07
19,Bengkulu,ID,2021-12-07 10:38:43,-3.8004,102.2655,79.21,85,93,6.53
20,Mackenzie,CA,2021-12-07 10:38:44,55.2999,-123.1698,16.02,86,90,5.75
21,Yenagoa,NG,2021-12-07 10:38:44,4.9247,6.2642,90.64,56,91,1.28
22,Vilyuysk,RU,2021-12-07 10:38:45,63.7553,121.6247,-38.97,100,59,2.37
23,Ruston,US,2021-12-07 10:38:45,32.5232,-92.6379,42.85,60,90,5.75
24,Novyy Urengoy,RU,2021-12-07 10:38:41,66.0833,76.6333,-9.45,99,86,8.97
25,Tautira,PF,2021-12-07 10:38:46,-17.7333,-149.15,78.82,75,100,11.12
26,Vanimo,PG,2021-12-07 10:38:46,-2.6741,141.3028,80.17,85,100,2.35
27,Brazzaville,CG,2021-12-07 10:38:47,-4.2658,15.2832,89.29,58,91,2.13
28,Kaitangata,NZ,2021-12-07 10:38:47,-46.2817,169.8464,49.48,96,21,3.18
29,Albany,US,2021-12-07 10:34:58,42.6001,-73.9662,34.48,62,57,1.01
30,Barrow,US,2021-12-07 10:38:48,71.2906,-156.7887,19.42,79,1,13.8
31,Colinas,BR,2021-12-07 10:38:48,-6.0258,-44.2492,80.67,77,12,2.1
32,Totness,SR,2021-12-07 10:38:48,5.8833,-56.3167,76.03,91,99,3.44
33,Aklavik,CA,2021-12-07 10:38:49,68.2191,-135.0107,16.52,85,100,5.26
34,Carnarvon,AU,2021-12-07 10:38:49,-24.8667,113.6333,77.07,78,4,13.8
35,Abu Dhabi,AE,2021-12-07 10:34:55,24.4667,54.3667,78.91,57,20,1.01
36,North Myrtle Beach,US,2021-12-07 10:38:50,33.816,-78.68,60.85,93,75,0.0
37,Dikson,RU,2021-12-07 10:38:50,73.5069,80.5464,-12.78,100,97,4.23
38,Odweyne,SO,2021-12-07 10:38:51,9.4092,45.064,83.19,17,58,4.72
39,Upernavik,GL,2021-12-07 10:38:51,72.7868,-56.1549,16.81,93,99,6.4
40,Joppatowne,US,2021-12-07 10:38:52,39.4579,-76.3552,36.05,65,1,3.0
41,Namatanai,PG,2021-12-07 10:38:52,-3.6667,152.4333,78.22,90,100,6.64
42,Nome,US,2021-12-07 10:38:52,64.5011,-165.4064,15.87,86,90,12.66
43,Kangasala,FI,2021-12-07 10:38:54,61.4638,24.076,9.14,86,66,3.33
44,Geraldton,AU,2021-12-07 10:38:54,-28.7667,114.6,81.01,57,2,8.05
